Speaker,Text,Title,Page Number,Page Heading,Raw
,,,29,CONCLUSIONS AND RECOMMENDATIONS,1. Scenes in foreign lands. 
,,,29,CONCLUSIONS AND RECOMMENDATIONS,2. Historical incidents. 
,,,29,CONCLUSIONS AND RECOMMENDATIONS,3. Travel and adventure. 
,,,29,CONCLUSIONS AND RECOMMENDATIONS,4. Nature study. 
,,,29,CONCLUSIONS AND RECOMMENDATIONS,5. Pictured plays and novels. 
,6. Industrial and agricultural life. ,,29,CONCLUSIONS AND RECOMMENDATIONS,6. Industrial and agricultural life. 
,,,29,CONCLUSIONS AND RECOMMENDATIONS,7. Noteworthy events of the day. 
,^ There were 1783 children in attendance in the evening. Much fuller  statistical evidence with regard to the attendance of children at cinema  houses is desirable. ,,29,CONCLUSIONS AND RECOMMENDATIONS,^ There were 1783 children in attendance in the evening. Much fuller  statistical evidence with regard to the attendance of children at cinema  houses is desirable. 
,,,30,CONCLUSIONS AND RECOMMENDATIONS,## p. 30  30 EDUCATIONAL ASPECTS 
,"But this educational value can easily be exaggerated, granted the  most careful selection of films. The residuum of history left after  reading a historical novel is small ; still less is that left after  witnessing a film. The use of the cinema for definite teaching  purposes, particularly with regard to nature study and science, is  of far more value in the case of older students who have some con-  ception of abstract ideas of space and time, and whose impressions  are not too confused by the bewildering rush of a film across the  field of vision. Much more might be done than is done at  present to present films which inculcate high qualities, such as  courage, self-sacrifice, and generosity. Cinema houses do not  realise how popular with children would be films of class 6, giving  pictures of the interior of factories, works, agricultural operations,  the Hfe of a sailor, and so forth. Boys have a perfect passion for  watching men at work. ",,30,CONCLUSIONS AND RECOMMENDATIONS,"But this educational value can easily be exaggerated, granted the  most careful selection of films. The residuum of history left after  reading a historical novel is small ; still less is that left after  witnessing a film. The use of the cinema for definite teaching  purposes, particularly with regard to nature study and science, is  of far more value in the case of older students who have some con-  ception of abstract ideas of space and time, and whose impressions  are not too confused by the bewildering rush of a film across the  field of vision. Much more might be done than is done at  present to present films which inculcate high qualities, such as  courage, self-sacrifice, and generosity. Cinema houses do not  realise how popular with children would be films of class 6, giving  pictures of the interior of factories, works, agricultural operations,  the Hfe of a sailor, and so forth. Boys have a perfect passion for  watching men at work. "
,"Defects from the educational point of view are the exciting  influence of the cinematograph entertainment. It is one thing to  make education interesting, and quite another to make it exciting ;  and in modern days too much stress has been laid even on the  former. Thoroughly objectionable, from the educational and moral  point of view, are not only films depicting crimes, immorality  and fraud, but also scenes of love-making, vulgar buffoonery,  horseplay, practical joking of a mischievous type and successful  imposture, which is none the less to be condemned if it is supposed  to be comic. ",,30,CONCLUSIONS AND RECOMMENDATIONS,"Defects from the educational point of view are the exciting  influence of the cinematograph entertainment. It is one thing to  make education interesting, and quite another to make it exciting ;  and in modern days too much stress has been laid even on the  former. Thoroughly objectionable, from the educational and moral  point of view, are not only films depicting crimes, immorality  and fraud, but also scenes of love-making, vulgar buffoonery,  horseplay, practical joking of a mischievous type and successful  imposture, which is none the less to be condemned if it is supposed  to be comic. "
,"It is in the recreative aspect that there is the strongest justifica-  tion for the existence of the cinema house. It presents about the  cheapest and most comfortable entertainment obtainable. It is  brought within easy reach of almost every family, and affords  an escape from inclement weather and comfortless homes. The  comic film, though generally vulgar, has its recreative value. The  cinema house is, in itself, a counter-attraction to the public-house,  and if we are not satisfied with the cinema house as the best rival  to the public-house, we must make our attack by way of better  housing (the problem which lies at the heart of all social reform,  from which we can never get away), and the provision of counter-  attractions for healthy indoor as well as public outdoor recrea-  tion ; and here it is a grievous mistake to regard the children as a  class wholly separable from their parents. The witness merely  mentions the recognised agents for children : Boys' and Girls'  Clubs, Cadets, Scouts, Guides, etc., etc. Healthy means for in-  door recreation for children and their elders might be found in  reformed public-houses, the popularising of music, including brass  and string bands, the development of the free library into a club,  rooms for the practice of art, the vitalising of museums and  galleries by the employment of trained guides, glorified gymnasia,  mixed family bathing, possibly also dancing-rooms under direct  municipal control. On the outdoor side may be mentioned play-  ing fields and recreation grounds, drill grounds (the most suitable  purpose for which the ordinary school playground can be utilised),  athletic grounds, and allotments, while in parks and also in smaller ",,30,CONCLUSIONS AND RECOMMENDATIONS,"It is in the recreative aspect that there is the strongest justifica-  tion for the existence of the cinema house. It presents about the  cheapest and most comfortable entertainment obtainable. It is  brought within easy reach of almost every family, and affords  an escape from inclement weather and comfortless homes. The  comic film, though generally vulgar, has its recreative value. The  cinema house is, in itself, a counter-attraction to the public-house,  and if we are not satisfied with the cinema house as the best rival  to the public-house, we must make our attack by way of better  housing (the problem which lies at the heart of all social reform,  from which we can never get away), and the provision of counter-  attractions for healthy indoor as well as public outdoor recrea-  tion ; and here it is a grievous mistake to regard the children as a  class wholly separable from their parents. The witness merely  mentions the recognised agents for children : Boys' and Girls'  Clubs, Cadets, Scouts, Guides, etc., etc. Healthy means for in-  door recreation for children and their elders might be found in  reformed public-houses, the popularising of music, including brass  and string bands, the development of the free library into a club,  rooms for the practice of art, the vitalising of museums and  galleries by the employment of trained guides, glorified gymnasia,  mixed family bathing, possibly also dancing-rooms under direct  municipal control. On the outdoor side may be mentioned play-  ing fields and recreation grounds, drill grounds (the most suitable  purpose for which the ordinary school playground can be utilised),  athletic grounds, and allotments, while in parks and also in smaller "
,,,31,CONCLUSIONS AND RECOMMENDATIONS,## p. 31  MR. J. G. LEGGE'S EVIDENCE 81 
,"open spaces more encouragement might be given to what may  perhaps be called formal gardening, e. g. old Enghsh gardens, rose  gardens, etc. ",,31,CONCLUSIONS AND RECOMMENDATIONS,"open spaces more encouragement might be given to what may  perhaps be called formal gardening, e. g. old Enghsh gardens, rose  gardens, etc. "
,"Finally, the effect on the problem of such measures as — ",,31,CONCLUSIONS AND RECOMMENDATIONS,"Finally, the effect on the problem of such measures as — "
,,,31,CONCLUSIONS AND RECOMMENDATIONS,1. Compulsory education schools. 
,,,31,CONCLUSIONS AND RECOMMENDATIONS,2. National Service. 
,"Both of which have much to recommend them, must not be lost  sight of. It is to be hoped that no system of continued education  \vill be introduced which does not secure for the adolescent popula-  tion at large one of the great privileges at present reserved for the  Secondary School boy, viz. the privilege of engaging in home work  up till nine o'clock at night. The Continuation School system  should provide for one, or if possible two, tutorial evenings a week.  So, too, with regard to National Service. A great deal of the  physical instruction connected with this will have to be given,  and may wholesomely be given, in the evening. ",,31,CONCLUSIONS AND RECOMMENDATIONS,"Both of which have much to recommend them, must not be lost  sight of. It is to be hoped that no system of continued education  \vill be introduced which does not secure for the adolescent popula-  tion at large one of the great privileges at present reserved for the  Secondary School boy, viz. the privilege of engaging in home work  up till nine o'clock at night. The Continuation School system  should provide for one, or if possible two, tutorial evenings a week.  So, too, with regard to National Service. A great deal of the  physical instruction connected with this will have to be given,  and may wholesomely be given, in the evening. "
,,,31,CONCLUSIONS AND RECOMMENDATIONS,MINUTES OF EVIDENCE  Mr. J. G. Legge. Examined. 
,,,31,CONCLUSIONS AND RECOMMENDATIONS,"1. The Chairman. Mr. Legge, you are the Director of Education  for the City of Liverpool? — Yes. "
,"2. You have also had a long connection with education in  London ? — I have ; I was in the Home Office for sixteen years,  and then I was head of a sub-department of the Home Office,  the Reformatory and Industrial Schools Department, for nine  years. ",,31,CONCLUSIONS AND RECOMMENDATIONS,"2. You have also had a long connection with education in  London ? — I have ; I was in the Home Office for sixteen years,  and then I was head of a sub-department of the Home Office,  the Reformatory and Industrial Schools Department, for nine  years. "
,"3. In Liverpool I see thiere are forty-nine licensed cinemas,  although in 1914 there were only thirty-eight. Therefore, even  during the war the number has been growing ? — Yes. ",,31,CONCLUSIONS AND RECOMMENDATIONS,"3. In Liverpool I see thiere are forty-nine licensed cinemas,  although in 1914 there were only thirty-eight. Therefore, even  during the war the number has been growing ? — Yes. "
,"4. In Liverpool who decides whether ffims are suitable for  children ? — The Justices, and they delegate their duties to a rota  of one or two. ",,31,CONCLUSIONS AND RECOMMENDATIONS,"4. In Liverpool who decides whether ffims are suitable for  children ? — The Justices, and they delegate their duties to a rota  of one or two. "
,"5. As a matter of fact, I suppose that this Committee would be  very rarely overruled by the Committee as a whole? — Very  seldom, but from what I gather from the Head Constable of  Liverpool, films do slip through even with the supervision of the  Justices, films that are not proper for the children to see. ",,31,CONCLUSIONS AND RECOMMENDATIONS,"5. As a matter of fact, I suppose that this Committee would be  very rarely overruled by the Committee as a whole? — Very  seldom, but from what I gather from the Head Constable of  Liverpool, films do slip through even with the supervision of the  Justices, films that are not proper for the children to see. "
,"6. Do you think that would be at all obviated supposing  children's films were regulated, say, from a single censor instead  of by local censors ?; — I think that would certainly be very effective  if for no other reason than that it would prevent films from being  rushed. The difficulty is that a man says : ""I have got these  films and I am sorry I was not aware that the Justices wished  to see them, but I will stop them if after they are started you  object to them."" ",,31,CONCLUSIONS AND RECOMMENDATIONS,"6. Do you think that would be at all obviated supposing  children's films were regulated, say, from a single censor instead  of by local censors ?; — I think that would certainly be very effective  if for no other reason than that it would prevent films from being  rushed. The difficulty is that a man says : ""I have got these  films and I am sorry I was not aware that the Justices wished  to see them, but I will stop them if after they are started you  object to them."" "
,"%% 7. And you think if dealt with by a central authority rather  than by the various localities, it might be better? — I think it  might be very effective in preventing the display of improper films  for children. ",,31,CONCLUSIONS AND RECOMMENDATIONS,"%% 7. And you think if dealt with by a central authority rather  than by the various localities, it might be better? — I think it  might be very effective in preventing the display of improper films  for children. "
,,,32,CONCLUSIONS AND RECOMMENDATIONS,## p. 32  82 ATTENDANCE OF CHILDREN 
,"8. "" At exhibitions for children no child shall be allowed to view  the exhibition from a distance of less than fifteen feet from the  screen on which the pictures are shown."" Is that purely because  of the eyes ; a question of the danger to the eyes ? — I take it it is  also to allow full room for dispersal. I think it is a combination  of the two. ",,32,CONCLUSIONS AND RECOMMENDATIONS,"8. "" At exhibitions for children no child shall be allowed to view  the exhibition from a distance of less than fifteen feet from the  screen on which the pictures are shown."" Is that purely because  of the eyes ; a question of the danger to the eyes ? — I take it it is  also to allow full room for dispersal. I think it is a combination  of the two. "
,9. Now have you met in Liverpool the difficulty in the way of  regulations for children by attaching the music licence to the  cinema licence ? — That is so. The powers under which Liverpool  acts in this regard are derived from the Liverpool Corporation  Act of 1899. ,,32,CONCLUSIONS AND RECOMMENDATIONS,9. Now have you met in Liverpool the difficulty in the way of  regulations for children by attaching the music licence to the  cinema licence ? — That is so. The powers under which Liverpool  acts in this regard are derived from the Liverpool Corporation  Act of 1899. 
,"10. You say : "" Children under fourteen, unaccompanied by  their parents or guardians, are often smuggled in by strangers to  whom they give their penny or twopence."" — Yes; the principal  of one of our large schools took stock of the children who entered  a picture house during one week of last year, and he found that  of the children entering after 6.30, 40 per cent, got in without  parents or guardians. They handed their money to some one to  pass them in in their company. Ten per cent, got in without any  guardian or even step -guardian. So that only 56 per cent, of  the children entering after 6.30 got in legitimately with their  parents or guardians. ",,32,CONCLUSIONS AND RECOMMENDATIONS,"10. You say : "" Children under fourteen, unaccompanied by  their parents or guardians, are often smuggled in by strangers to  whom they give their penny or twopence."" — Yes; the principal  of one of our large schools took stock of the children who entered  a picture house during one week of last year, and he found that  of the children entering after 6.30, 40 per cent, got in without  parents or guardians. They handed their money to some one to  pass them in in their company. Ten per cent, got in without any  guardian or even step -guardian. So that only 56 per cent, of  the children entering after 6.30 got in legitimately with their  parents or guardians. "
,"11. Has any attempt at supervision been made? — That is a  point I would not care to press the Head Constable very hard  upon, but it does seem that it could be very easily checked if an  example were made in two or three cases. It might be made a  positive offence for a person to smuggle a child in. ",,32,CONCLUSIONS AND RECOMMENDATIONS,"11. Has any attempt at supervision been made? — That is a  point I would not care to press the Head Constable very hard  upon, but it does seem that it could be very easily checked if an  example were made in two or three cases. It might be made a  positive offence for a person to smuggle a child in. "
,"12. I notice that you would desire very much more careful  statistical evidence with regard to the attendance of children at  cinemas ? — Yes, I think it is of enormous importance, particularly  from the point of view to see whether it is growing or not. One  very interesting point has come out lately over the Summer Time  Act of last year. The inspectors under the Education Committee  at Liverpool, stated as one of their arguments in favour of the  re-enactment of that provision this year, that it had a marked  tendency to keep children all through six light months of the  year out of the cinema house. When I pressed them as to what  they based their opinion upon, they said observation. Well,  observation is not enough ; one wants actual figures. ",,32,CONCLUSIONS AND RECOMMENDATIONS,"12. I notice that you would desire very much more careful  statistical evidence with regard to the attendance of children at  cinemas ? — Yes, I think it is of enormous importance, particularly  from the point of view to see whether it is growing or not. One  very interesting point has come out lately over the Summer Time  Act of last year. The inspectors under the Education Committee  at Liverpool, stated as one of their arguments in favour of the  re-enactment of that provision this year, that it had a marked  tendency to keep children all through six light months of the  year out of the cinema house. When I pressed them as to what  they based their opinion upon, they said observation. Well,  observation is not enough ; one wants actual figures. "
,"13. Your Joint Committee was formed to consider the question  of juvenile crime, and they issued this report, which is very con-  demnatory, of the attendance of children at cinemas ? — I think  it is, on the whole. ",,32,CONCLUSIONS AND RECOMMENDATIONS,"13. Your Joint Committee was formed to consider the question  of juvenile crime, and they issued this report, which is very con-  demnatory, of the attendance of children at cinemas ? — I think  it is, on the whole. "
,"%% 14. You have handed in a paragraph of their report which is  a serious paragraph, is it not ? — Yes ; in that connection, my lord,  may I mention that a better report than that of the Joint Com-  mittee of Liverpool may not be known to you. It is a Manchester  report. It is a very much more useful report than the Liverpool  one, largely because it was not the work of a committee, but the  work of one man, one office, the Education Office at Manchester.  The man had also the assistance of the police, and has drawn up ",,32,CONCLUSIONS AND RECOMMENDATIONS,"%% 14. You have handed in a paragraph of their report which is  a serious paragraph, is it not ? — Yes ; in that connection, my lord,  may I mention that a better report than that of the Joint Com-  mittee of Liverpool may not be known to you. It is a Manchester  report. It is a very much more useful report than the Liverpool  one, largely because it was not the work of a committee, but the  work of one man, one office, the Education Office at Manchester.  The man had also the assistance of the police, and has drawn up "
,,,33,CONCLUSIONS AND RECOMMENDATIONS,## p. 33  MORAL ASPECTS 83 
,"a remarkable report from the statistics. He deals with juvenile  crime, and analyses the very question your Committee is dealing  with very ably indeed. ",,33,CONCLUSIONS AND RECOMMENDATIONS,"a remarkable report from the statistics. He deals with juvenile  crime, and analyses the very question your Committee is dealing  with very ably indeed. "
,"15. Now this paragraph : "" Not only are children frequently  induced to steal in order to obtain admission ; it is quite a common  excuse in theft or begging cases that the money was wanted for  ' the pictures.' "" Now has that not become rather a thing that  a child says all over the country? — I think not, because the  authority on which that statement is made by the Committee,  is the stipendiary magistrate, and he is perfectly satisfied by  questions from the Bench that the statement is well founded. ",,33,CONCLUSIONS AND RECOMMENDATIONS,"15. Now this paragraph : "" Not only are children frequently  induced to steal in order to obtain admission ; it is quite a common  excuse in theft or begging cases that the money was wanted for  ' the pictures.' "" Now has that not become rather a thing that  a child says all over the country? — I think not, because the  authority on which that statement is made by the Committee,  is the stipendiary magistrate, and he is perfectly satisfied by  questions from the Bench that the statement is well founded. "
,"16. In every case is it usual to take the statement of a prisoner  as something which cannot be questioned ? — Oh, no, this is not  based on a statement of any one who has accepted the prisoner's  statement or the accused's statement. The stipendiary magistrate  has examined the child from the Bench, and also I have first-hand  information on that point from my school attendance officers making  inquiries with regard to industrial ' school cases ; the parents have  complained that the parent's money has sometimes been taken  by the child, and that in many cases it is not safe to leave money  in the teapot on the mantelpiece because of the incentive which  makes them help themselves out of it for the purpose of going to  the cinema. ",,33,CONCLUSIONS AND RECOMMENDATIONS,"16. In every case is it usual to take the statement of a prisoner  as something which cannot be questioned ? — Oh, no, this is not  based on a statement of any one who has accepted the prisoner's  statement or the accused's statement. The stipendiary magistrate  has examined the child from the Bench, and also I have first-hand  information on that point from my school attendance officers making  inquiries with regard to industrial ' school cases ; the parents have  complained that the parent's money has sometimes been taken  by the child, and that in many cases it is not safe to leave money  in the teapot on the mantelpiece because of the incentive which  makes them help themselves out of it for the purpose of going to  the cinema. "
,17. That does not necessarily condemn the cinema ? — No. ,,33,CONCLUSIONS AND RECOMMENDATIONS,17. That does not necessarily condemn the cinema ? — No. 
,"18. It speaks of the attraction of the cinema, but of nothing  wrong that the cinema does. A child is so attracted to it that it  has stolen the money ? — I think when the attraction reaches that  point one may take it the attraction comes out of a craving for  a stimulant, and at that age stimulant of any sort is not altogether  wholesome. ",,33,CONCLUSIONS AND RECOMMENDATIONS,"18. It speaks of the attraction of the cinema, but of nothing  wrong that the cinema does. A child is so attracted to it that it  has stolen the money ? — I think when the attraction reaches that  point one may take it the attraction comes out of a craving for  a stimulant, and at that age stimulant of any sort is not altogether  wholesome. "
,"19. Then in giving your personal views on the problem you do  them under two heads, first the educational and moral aspect, and  then the recreative aspect. You therefore accept, don't you, in  taking the recreative aspect that the cinema is, after all, not  primarily an educational matter ; it is a commercial matter, and  the proprietor of a cinema has no more duty to consider the  educational side than has the theatre manager ? — That is so. ",,33,CONCLUSIONS AND RECOMMENDATIONS,"19. Then in giving your personal views on the problem you do  them under two heads, first the educational and moral aspect, and  then the recreative aspect. You therefore accept, don't you, in  taking the recreative aspect that the cinema is, after all, not  primarily an educational matter ; it is a commercial matter, and  the proprietor of a cinema has no more duty to consider the  educational side than has the theatre manager ? — That is so. "
,20. You say cinema houses don't realise how popular all children  would think the films giving pictures of industrial factories and  work^. Could these things be done? — Yes. ,,33,CONCLUSIONS AND RECOMMENDATIONS,20. You say cinema houses don't realise how popular all children  would think the films giving pictures of industrial factories and  work^. Could these things be done? — Yes. 
,"21. "" Boys have a perfect passion for seeing men at work.""  Do you think it would be an incentive towards work for a child  to see people at work in a cinema? — Yes, I have a very strong  view on that point. If a child saw in a cinema illustrations of  different kinds of factories and workshops, and also pictures  showing handymen manipulating their tools and things of that  sort, and also the life of a sailor boy, then I think that would be  doing a real good thing. ",,33,CONCLUSIONS AND RECOMMENDATIONS,"21. "" Boys have a perfect passion for seeing men at work.""  Do you think it would be an incentive towards work for a child  to see people at work in a cinema? — Yes, I have a very strong  view on that point. If a child saw in a cinema illustrations of  different kinds of factories and workshops, and also pictures  showing handymen manipulating their tools and things of that  sort, and also the life of a sailor boy, then I think that would be  doing a real good thing. "
,"22. And you think it would be a commercial success for the  cinema to conduct it ? — For the children, yes. ",,33,CONCLUSIONS AND RECOMMENDATIONS,"22. And you think it would be a commercial success for the  cinema to conduct it ? — For the children, yes. "
,%% 23. Then we will turn to the recreative side. You will admit ,,33,CONCLUSIONS AND RECOMMENDATIONS,%% 23. Then we will turn to the recreative side. You will admit 
,,,34,CONCLUSIONS AND RECOMMENDATIONS,## p. 34  M JUVENILE DELINQUENCY 
,"that the comic film is recreative although it may be a vulgar film  sometimes? — Yes, I feel forced to make that admission. ",,34,CONCLUSIONS AND RECOMMENDATIONS,"that the comic film is recreative although it may be a vulgar film  sometimes? — Yes, I feel forced to make that admission. "
,"24. And you lay stress on the fact that a cinema is a counter-  attraction to a public-house ? — Yes, and that is one of the best  things that can be said for it. (Hear, hear.) ",,34,CONCLUSIONS AND RECOMMENDATIONS,"24. And you lay stress on the fact that a cinema is a counter-  attraction to a public-house ? — Yes, and that is one of the best  things that can be said for it. (Hear, hear.) "
,"25. Mr. T. p. O'Connor. Are you a frequenter of cinema  theatres ? — No, I go very seldom. I went frequently at one time,  but I never go now except to see a particular film, and that is  never a comic film. ",,34,CONCLUSIONS AND RECOMMENDATIONS,"25. Mr. T. p. O'Connor. Are you a frequenter of cinema  theatres ? — No, I go very seldom. I went frequently at one time,  but I never go now except to see a particular film, and that is  never a comic film. "
,"26. Well, do you ever go to a music hall ? — I have not been to  a music hall since war began except, perhaps, to see a film, but I  have been to a good many in my time. ",,34,CONCLUSIONS AND RECOMMENDATIONS,"26. Well, do you ever go to a music hall ? — I have not been to  a music hall since war began except, perhaps, to see a film, but I  have been to a good many in my time. "
,27. Have you not found yourself rather saddened by the comic  business of music halls ? — Yes. ,,34,CONCLUSIONS AND RECOMMENDATIONS,27. Have you not found yourself rather saddened by the comic  business of music halls ? — Yes. 
,"28. So that that applies to many classes of audience as well as  those of the cinema theatres ? — Yes, but there is this difference as  I have noticed ; I have never seen to my recollection a scene on  a music hall stage where the exhibition of comic horseplay was  given when the hero was a child. I have constantly seen the hero  of a comic film as a child of the Buster Brown type. ",,34,CONCLUSIONS AND RECOMMENDATIONS,"28. So that that applies to many classes of audience as well as  those of the cinema theatres ? — Yes, but there is this difference as  I have noticed ; I have never seen to my recollection a scene on  a music hall stage where the exhibition of comic horseplay was  given when the hero was a child. I have constantly seen the hero  of a comic film as a child of the Buster Brown type. "
,"29. Well, I do not think your information is quite complete on  that point. I would like just to analyse a little the statement you  have quoted about children stealing to go to cinemas. I suppose  the eager desire of children for enjoyment leads to stealing for other  purposes as well, does it not? — Yes, for cigarettes, if nothing  else. ",,34,CONCLUSIONS AND RECOMMENDATIONS,"29. Well, I do not think your information is quite complete on  that point. I would like just to analyse a little the statement you  have quoted about children stealing to go to cinemas. I suppose  the eager desire of children for enjoyment leads to stealing for other  purposes as well, does it not? — Yes, for cigarettes, if nothing  else. "
,"30. Is it not your experience as an educationalist engaged  mainly in the welfare of youth, that the confectionery shop is the  shop the child goes to with any loose money it has ? — Yes. ",,34,CONCLUSIONS AND RECOMMENDATIONS,"30. Is it not your experience as an educationalist engaged  mainly in the welfare of youth, that the confectionery shop is the  shop the child goes to with any loose money it has ? — Yes. "
,"31. I put it then, that the stealing is just a part of that general  and impulsive desire of enjoyment common to all children ? — No,  I cannot quite agree there, because I do not think the child gives  up the sweet shop for the cinema. It has become a recognised  thing that a child shall have its weekly pence for buying sweets,  but this is a need that has come on top of that, and the whole  economic idea of the child is certainly disturbed by a demand to  find 100 per cent, more money in the week. ",,34,CONCLUSIONS AND RECOMMENDATIONS,"31. I put it then, that the stealing is just a part of that general  and impulsive desire of enjoyment common to all children ? — No,  I cannot quite agree there, because I do not think the child gives  up the sweet shop for the cinema. It has become a recognised  thing that a child shall have its weekly pence for buying sweets,  but this is a need that has come on top of that, and the whole  economic idea of the child is certainly disturbed by a demand to  find 100 per cent, more money in the week. "
,32. Before the cinema the child probably found its amusement  in the street? — That is so. ,,34,CONCLUSIONS AND RECOMMENDATIONS,32. Before the cinema the child probably found its amusement  in the street? — That is so. 
,"33. Which might have been much more prejudicial than the  cinema ? — Yes, but in the summer months I have noticed that the  effect of the cinema house has been to keep the children out of the  parks, which seems to me to be unfortunate. ",,34,CONCLUSIONS AND RECOMMENDATIONS,"33. Which might have been much more prejudicial than the  cinema ? — Yes, but in the summer months I have noticed that the  effect of the cinema house has been to keep the children out of the  parks, which seems to me to be unfortunate. "
,"34. Could not that be met partially by cinemas in the park ? —  Yes, that is a very good suggestion. ",,34,CONCLUSIONS AND RECOMMENDATIONS,"34. Could not that be met partially by cinemas in the park ? —  Yes, that is a very good suggestion. "
,"35. Now, I will take ypu a little on the educational side, although  I think this, my lord, is not quite so relevant to our inquiry as the  other side. You are acquainted with the Berlitz system of teaching  English ?— Yes. ",,34,CONCLUSIONS AND RECOMMENDATIONS,"35. Now, I will take ypu a little on the educational side, although  I think this, my lord, is not quite so relevant to our inquiry as the  other side. You are acquainted with the Berlitz system of teaching  English ?— Yes. "
,%% 36. May I not state that the fundamental principle of that is  the combination of the eye with the ear and the memory ? — Yes. ,,34,CONCLUSIONS AND RECOMMENDATIONS,%% 36. May I not state that the fundamental principle of that is  the combination of the eye with the ear and the memory ? — Yes. 
,,,35,CONCLUSIONS AND RECOMMENDATIONS,## p. 35  FILM STORIES 85 
,"37. Don't you think that system can be appUed through the  cinema to many other forms of education ? — Yes, I think I have  practically admitted that the film is quite as good as a picture  book to a child, but of course, I need not go so far as to say that  the moving picture is better than the picture book. ",,35,CONCLUSIONS AND RECOMMENDATIONS,"37. Don't you think that system can be appUed through the  cinema to many other forms of education ? — Yes, I think I have  practically admitted that the film is quite as good as a picture  book to a child, but of course, I need not go so far as to say that  the moving picture is better than the picture book. "
,"38. Would it not be better if instead of learning geography in  the old way of simply committing to memory rivers and other  particulars of nations, that the child should see on the cinema in  some form or another a picture of the city and its streets, and its  general life, and a picture of the river and the countries it went  through? — I would not substitute one for the other. The com-  bination would be of value, but if I had a child educated by the old  system and another educated by visits to the cinema house up to  the age of sixteen years, I should expect the child educated on the  old system to have a very much better working knowledge of  geography than the other; in fact, an incomparably better  knowledge. ",,35,CONCLUSIONS AND RECOMMENDATIONS,"38. Would it not be better if instead of learning geography in  the old way of simply committing to memory rivers and other  particulars of nations, that the child should see on the cinema in  some form or another a picture of the city and its streets, and its  general life, and a picture of the river and the countries it went  through? — I would not substitute one for the other. The com-  bination would be of value, but if I had a child educated by the old  system and another educated by visits to the cinema house up to  the age of sixteen years, I should expect the child educated on the  old system to have a very much better working knowledge of  geography than the other; in fact, an incomparably better  knowledge. "
,39. I do not think any one suggests you should educate the child  in the cinema theatres. The point is that the cinema would be a  very useful addition to the study? — Yes. ,,35,CONCLUSIONS AND RECOMMENDATIONS,39. I do not think any one suggests you should educate the child  in the cinema theatres. The point is that the cinema would be a  very useful addition to the study? — Yes. 
,"40. You suggest that probationers should not be allowed to  attend at cinema theatres ? — Well, that was a suggestion thrown  out by the Liverpool Joint G^mmittee on Juvenile Crime. ",,35,CONCLUSIONS AND RECOMMENDATIONS,"40. You suggest that probationers should not be allowed to  attend at cinema theatres ? — Well, that was a suggestion thrown  out by the Liverpool Joint G^mmittee on Juvenile Crime. "
,"41. I suppose you are not aware of the fact that some of the  probation officers of the large police courts actually take these  probationers to the cinemas as a reward for good conduct ? — No ;  I will convey that information to, our stipendiary. ",,35,CONCLUSIONS AND RECOMMENDATIONS,"41. I suppose you are not aware of the fact that some of the  probation officers of the large police courts actually take these  probationers to the cinemas as a reward for good conduct ? — No ;  I will convey that information to, our stipendiary. "
,"42. You object to the fact that there are not enough stories  showing courage, self-sacrifice or generosity? — Yes. ",,35,CONCLUSIONS AND RECOMMENDATIONS,"42. You object to the fact that there are not enough stories  showing courage, self-sacrifice or generosity? — Yes. "
,"43. Do you make that statement on your own personal experi-  ence or on information conveyed to you? — On questioning the  poUce. I have gone into that matter in order to form some idea  of the variety of films exhibited on occasions when children are  expected to be present. I have not gone into what is being  displayed in the evening, in the entertainment in the second  house. ",,35,CONCLUSIONS AND RECOMMENDATIONS,"43. Do you make that statement on your own personal experi-  ence or on information conveyed to you? — On questioning the  poUce. I have gone into that matter in order to form some idea  of the variety of films exhibited on occasions when children are  expected to be present. I have not gone into what is being  displayed in the evening, in the entertainment in the second  house. "
,"44. I suppose you would be surprised to hear that stories of this  particular kind are to be found in every programme of almost  every cinema theatre in the country ? — I dare say there are, but I do  not know whose word I would take for it. I have seen stories of  adventure of the Buster Bro^vn type, but they are not creditable  adventures. ",,35,CONCLUSIONS AND RECOMMENDATIONS,"44. I suppose you would be surprised to hear that stories of this  particular kind are to be found in every programme of almost  every cinema theatre in the country ? — I dare say there are, but I do  not know whose word I would take for it. I have seen stories of  adventure of the Buster Bro^vn type, but they are not creditable  adventures. "
,"45. You know in the melodrama that the hero does deeds of  courage and daring; you know what a popular feature that is in  all our popular theatres ? — Yes, but in many of those I have seen  myself the hero is represented as exposed to certain temptations  which he triumphs over. Now the temptation on the film takes  five-sixths of the time, and the heroic triumph at the end is very  short, and the temptation leaves more impression on the child's  mind than the triumph at the end. ",,35,CONCLUSIONS AND RECOMMENDATIONS,"45. You know in the melodrama that the hero does deeds of  courage and daring; you know what a popular feature that is in  all our popular theatres ? — Yes, but in many of those I have seen  myself the hero is represented as exposed to certain temptations  which he triumphs over. Now the temptation on the film takes  five-sixths of the time, and the heroic triumph at the end is very  short, and the temptation leaves more impression on the child's  mind than the triumph at the end. "
,"%% 46. Well, I think you are addressing your mind to one set of ",,35,CONCLUSIONS AND RECOMMENDATIONS,"%% 46. Well, I think you are addressing your mind to one set of "
,,,36,CONCLUSIONS AND RECOMMENDATIONS,## p. 36  86 MUSIC LICENCES 
